participant_id,condition_group,experiment_phase,lat,lon,heart_rate,cadence,task_id,timestamp_idx
P28,LB,baseline,32.72174352962583,-97.0682539576338,77,0,A,1000
P28,LB,baseline,32.72174352962583,-97.0682539576338,74,0,A,1001
P28,LB,baseline,32.721739021040385,-97.06825929126224,74,0,A,1002
P28,LB,baseline,32.721711969527696,-97.0682539576338,77,0,A,1003
P28,LB,baseline,32.721711969527696,-97.0682539576338,80,0,A,1004
P28,LB,baseline,32.721739021040385,-97.0682539576338,83,0,A,1005
P28,LB,baseline,32.721761563967625,-97.06825929126224,86,0,A,1006
P28,LB,baseline,32.72175254679673,-97.06828062577598,89,0,A,1007
P28,LB,baseline,32.72176607255307,-97.06827529214756,85,0,C,1008
P28,LB,baseline,32.72176607255307,-97.06827529214756,88,0,C,1009
P28,LB,baseline,32.72177058113852,-97.06828062577598,93,0,C,1010
P28,LB,baseline,32.72177058113852,-97.06828062577598,97,0,C,1011
P28,LB,baseline,32.72176607255307,-97.06828062577598,100,0,C,1012
P28,LB,baseline,32.721761563967625,-97.06826995851912,97,0,C,1013
P28,LB,baseline,32.721761563967625,-97.06826995851912,94,0,C,1014
P28,LB,baseline,32.721761563967625,-97.06826995851912,97,0,C,1015
P28,LB,baseline,32.721761563967625,-97.06826995851912,94,0,C,1016
P28,LB,baseline,32.721761563967625,-97.06826995851912,97,0,C,1017
P28,LB,baseline,32.72175254679673,-97.06827529214756,100,0,C,1018
P28,LB,baseline,32.72175705538218,-97.06827529214756,103,0,C,1019
P28,LB,baseline,32.72175254679673,-97.06826995851912,106,0,C,1020
P28,LB,baseline,32.72175254679673,-97.06826995851912,103,0,C,1021
P28,LB,baseline,32.72174803821128,-97.06827529214756,100,0,C,1022
P28,LB,baseline,32.721739021040385,-97.06827529214756,97,0,C,1023
P28,LB,baseline,32.721739021040385,-97.06827529214756,100,0,C,1024
P28,LB,baseline,32.72174803821128,-97.06827529214756,97,0,C,1025
